job_id,submit_epoch_ms,total_pending_x,pending_gpus_x,job_type,start_epoch_ms,total_running,running_gpus_x,wait_ms,wait_seconds,wait_minutes,label_long_wait,wait_threshold_p90,pending_ratio,queue_depth_norm,fragmentation_score,congestion_score,total_pending_y,pending_gpus_y,running_gpus_y,gpu_nodes_alloc,gpu_nodes_total,util_gpu_mean,util_gpu_std,util_gpu_max,util_mem_mean,util_mem_std,util_mem_max,temp_c_mean,temp_c_max,power_w_mean,power_w_max,mem_used_mb_mean,mem_used_mb_max,mem_total_mb_first,power_efficiency,mem_pressure,job_type_encoded
10,1770344372000,0,0,,1770344440000,1,1,68000,68.0,1.1333333333333333,0,133.0,0.0,0.0,0.9,0.27,0,0,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,9.187333333333333,10.94,1.0,1.0,15360.0,0.0,6.510416666666667e-05,-1
100,1770350405000,7,7,burst,1770350423000,2,2,18000,18.0,0.3,0,133.0,0.7777777777777778,0.012006861063464836,0.8,0.5547131694301506,7,7,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.04,9.86,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
101,1770350405000,6,6,burst,1770350424000,2,2,19000,19.0,0.31666666666666665,0,133.0,0.75,0.010291595197255575,0.8,0.5430874785591767,6,6,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.117333333333333,10.45,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
102,1770350424000,15,15,burst,1770350442000,2,2,18000,18.0,0.3,0,133.0,0.8823529411764706,0.025728987993138937,0.8,0.60065987286853,15,15,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.199333333333334,10.84,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
103,1770350425000,14,14,burst,1770350443000,2,2,18000,18.0,0.3,0,133.0,0.875,0.024013722126929673,0.8,0.5972041166380789,14,14,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.265333333333333,10.25,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
104,1770350444000,13,13,burst,1770350462000,2,2,18000,18.0,0.3,0,133.0,0.8666666666666667,0.022298456260720412,0.8,0.5933562035448827,13,13,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.145999999999999,10.45,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
105,1770350444000,12,12,burst,1770350463000,2,2,19000,19.0,0.31666666666666665,0,133.0,0.8571428571428571,0.02058319039451115,0.8,0.5890320999754962,12,12,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,9.154666666666666,10.95,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
106,1770350463000,3,3,burst,1770350482000,2,2,19000,19.0,0.31666666666666665,0,133.0,0.6,0.005145797598627788,0.0,0.24154373927958833,3,3,2,10,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.118666666666666,10.35,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
107,1770350558000,7,7,burst,1770350576000,2,2,18000,18.0,0.3,0,133.0,0.7777777777777778,0.012006861063464836,0.8,0.5547131694301506,7,7,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.266666666666666,21.0,9.204666666666666,10.54,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
108,1770350307000,16,16,burst,1770350325000,2,2,18000,18.0,0.3,0,133.0,0.8888888888888888,0.0274442538593482,0.8,0.60378883171336,16,16,2,2,10,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,9.113333333333333,10.25,1.0,1.0,15360.0,0.0,6.510416666666667e-05,3
