pending_ratio,queue_depth_norm,fragmentation_score,congestion_score,pending_gpus,total_pending,running_gpus,gpu_nodes_alloc,gpu_nodes_total,label_long_wait,raw_score
0.09381223628720654,7,0.5511193082907904,0.32870350497112455,4,4,2,2,7,0,0.2623165210022965
0.08470226761272519,0,0.9199186790046889,0.2956040370939057,7,4,3,3,7,0,0.12618514062760147
0.06029768946800586,3,0.2186871040763757,0.7107314083189465,3,1,3,7,5,0,0.2430215720251265
0.4979417290126977,12,0.6624387014992926,0.0033818049599033673,3,3,2,5,1,1,0.48375446191947835
0.27360701518062447,0,0.2489599505973198,0.2925147349856613,5,4,1,3,5,0,0.16853532441691557
0.2031487202196484,6,0.756313159629113,0.2327749253174245,8,4,4,3,2,0,0.27077592503005526
0.20241928422509592,0,0.8691635471542973,0.48479514756992304,7,1,1,3,5,0,0.19168537650935152
0.3709607832878924,2,0.8184280158257564,0.02632386882712978,4,5,3,1,2,0,0.1880847197502714
0.2127604719703172,0,0.35499143683211865,0.9333942758748798,4,4,1,1,0,0,0.202737775276022
0.10595516987895123,20,0.9731147842279342,0.15658170506935642,3,1,4,2,5,1,0.553135394576463
0.46208318440732005,6,0.6510381836595872,0.680381851598516,4,4,1,5,5,0,0.3634551531306435
0.16667001616098515,2,0.9840996112507647,0.11362385930390684,4,3,2,2,2,0,0.18961680615123844
0.5952363800413156,11,0.02756428094566743,0.700911510975746,6,2,4,4,2,1,0.4944026350997817
0.13202220451392352,0,0.2546774529830498,0.34865853622321163,1,5,2,3,3,0,0.05422200718118365
0.10837316688995706,0,0.8073692829623659,0.12713113854703606,4,4,2,2,5,0,0.11364205870106281
0.29103265491863844,2,0.4893358339297327,0.3575797409139124,1,3,4,2,7,0,0.23829819566619356
0.3671620342948547,11,0.850792803646679,0.9336110000780882,3,4,4,4,4,0,0.40220118108742026
0.07401489787791088,2,0.37948269929790046,0.9526305216081492,2,5,3,7,1,0,0.27142730326714504
0.12323732626789564,1,0.5532393741290359,0.657208826863354,2,0,2,2,3,0,0.1756571007794162
0.3000316867893931,0,0.6568691062962373,0.9794853114128368,3,3,2,2,3,0,0.21915717903174547
0.09539276087234352,1,0.048102439602957014,0.7750798686201122,4,3,1,0,3,0,0.11801301485061533
0.15903473032872467,0,0.15016870369420632,0.2902497081404237,2,3,4,3,1,0,0.23523872278167018
0.10991003834061994,2,0.07977488216141604,0.14451465762270665,2,1,2,7,3,0,0.22185233420269215
0.17339510264123117,2,0.10129967769725434,0.68651615682033,4,0,4,3,3,0,0.21394313327452408
0.08017756356811598,2,0.029466454127088926,0.0067769933573205154,2,4,3,3,0,0,0.09696577424073576
0.26851688938481566,0,0.8455927818912878,0.6768254125076569,4,4,7,0,2,0,0.2081701770120328
0.3045145716004523,2,0.21299240307624556,0.9528913573848379,6,3,3,1,4,0,0.2127790004646466
0.22715833793983578,0,0.271755911197024,0.7337801799409535,1,2,4,5,1,0,0.18273989186257614
0.29186848196167303,1,0.09487555170706119,0.26902145567378666,5,0,6,3,1,0,0.22999025055936592
0.5575264976311483,0,0.5189607424657695,0.14588879483533834,3,6,4,4,0,0,0.2450994529541372
0.06355493785067404,4,0.9574561346140275,0.09192267400273912,2,4,3,1,1,0,0.13490775384192336
0.5732500298546996,5,0.9889544489522492,0.8254272633727229,3,2,3,3,2,0,0.38280956918929476
0.4441691689687323,7,0.938431819027131,0.14459125373450388,3,4,3,4,2,0,0.37625912687993734
0.36917417208287506,2,0.9607493641826126,0.9080983018629372,2,4,3,3,0,0,0.19943135031556242
0.3776867009054577,0,0.003657357572898312,0.19374229520420516,1,5,1,3,3,0,0.3884849191502768
0.45648823582832143,1,0.9908338644372053,0.492526783005088,2,3,0,4,3,0,0.422379691725907
0.3031150737542622,2,0.12768104526312707,0.5215376598017208,3,5,2,2,2,0,0.19422230393323175
0.44414386279022583,4,0.15559972218879337,0.5307991557022022,1,2,4,4,2,0,0.2846607230849888
0.13370716241015218,6,0.6918462308444386,0.07750371697250236,3,2,4,3,3,0,0.22227151822048202
0.29689293706756986,0,0.14670672177015798,0.97914344958947,1,6,2,2,1,0,0.07176766363232664
0.24147533825189027,1,0.3985778674564604,0.6725990519014444,3,5,3,4,5,0,0.2344792273165592
0.6838204383846687,2,0.1729978332568718,0.8552739413790968,3,6,3,5,6,0,0.41178355856436266
0.5629304780258717,10,0.6403320015780258,0.4784006430414751,5,2,3,4,3,0,0.37737998438993114
0.3908898264103288,17,0.8396009595172488,0.9951135191521736,5,4,2,1,2,1,0.49227379526689163
0.6342656053590611,5,0.413778946232943,0.3861468393569222,1,1,6,4,2,0,0.35605854140540133
0.22529128707416446,1,0.9225036795896419,0.40684459148086993,5,3,6,2,4,0,0.11007712862249824
0.003253629226518339,3,0.14720735427586462,0.5660197774007447,7,2,1,5,1,0,0.2868327528751399
0.3384372614250064,2,0.5539652486216848,0.45430274577792995,2,4,2,0,4,0,0.37576468183111805
0.3202866542520573,10,0.5185947249678149,0.12481131524234312,2,4,2,2,0,0,0.39430640818962553
0.37753619772752656,5,0.8254005292806784,0.23345820693176078,2,1,1,6,2,0,0.3185847454369022
0.07821969319599256,26,0.2130262914839317,0.10320430048660234,2,2,4,3,2,1,0.5781412241189703
0.48163433758040197,3,0.28377815874922907,0.3297309435589981,7,3,2,4,2,0,0.27329361694059906
0.0818115388170883,2,0.9463093366611005,0.8113948324919695,1,0,1,0,4,0,0.24496136219349457
0.2615605522704163,7,0.15245525361733625,0.819569103350996,4,5,4,4,2,0,0.415006978891853
0.22974936450859804,8,0.32344358462610023,0.8886796329165725,4,3,4,4,2,0,0.31939188945307134
0.47423494518924597,5,0.6916660232714122,0.5146488493679988,7,1,7,5,2,1,0.48685482336987257
0.10719839103805288,6,0.3711465480213225,0.028891789618605834,6,2,0,2,3,0,0.2713276337106231
0.21675391573141795,8,0.6642618129605149,0.15668434313355184,1,1,1,2,3,0,0.359030261323958
0.08970088120936183,11,0.9996085395109404,0.2688224204487325,4,3,6,5,0,0,0.3694656035641977
0.48870905450292457,2,0.49376693936015337,0.44031469960065095,4,5,4,3,3,0,0.3092398005402979
0.29017225744862596,0,0.05876576469329997,0.12976917229264107,4,3,4,6,3,0,0.19569352472852158
0.18785719801283648,7,0.8150626879551677,0.3165113573343482,3,1,5,3,4,0,0.40331252849519345
0.18260351105262213,2,0.5756154658101111,0.49537418679371237,5,3,4,2,3,0,0.1335133270373623
0.41138235172442783,10,0.5075811736271781,0.7867748945374828,4,3,3,2,2,1,0.4805338059832548
0.2142937036275913,2,0.1596617086519576,0.7844746700421832,1,6,5,4,3,0,0.08285699556262692
0.17677744500816162,0,0.23287670317936127,0.3500690276423516,5,4,3,3,3,0,0.2253627479955161
0.09048400434713791,3,0.8417666551552541,0.5585737496698165,2,2,3,2,1,0,0.1774314919521705
0.5489350935003909,4,0.7777918315552083,0.8832893271752915,4,5,4,4,2,0,0.3602040589247839
0.34752046224324024,7,0.016944294993028408,0.9687156429149172,2,1,2,2,3,0,0.38841068632188525
0.39513981976195434,1,0.05395967235603916,0.8262432281204022,1,3,6,6,2,0,0.32003004326738743
0.18725623073464687,1,0.02610433900860476,0.6553759995604311,2,3,3,6,2,0,0.17098921386922428
0.4268891890811244,7,0.8371803040205801,0.43414425861071304,2,0,4,5,1,0,0.40455545286203853
0.11264713291553817,7,0.30615129441965716,0.5710861370360732,0,2,0,5,3,0,0.317616363839858
